sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
oversampling,var_threshold,no_norm,pca,nn,0.522724623493073,0.523657474600871,0.523190633227937
oversampling,var_threshold,no_norm,umap,nn,0.323256844541145,0.358333333333333,0.339892523065599
oversampling,var_threshold,min_max_norm,no_dim_reduction,nn,0.886667502381139,0.878809869375907,0.882721199844028
oversampling,var_threshold,min_max_norm,pca,nn,0.881055626562855,0.873681664247702,0.87735315154175
oversampling,var_threshold,min_max_norm,umap,nn,0.42965915712452,0.405491049830673,0.41722540745567
oversampling,var_threshold,robust_scaler,no_dim_reduction,nn,0.839400345190721,0.832208514755684,0.835788959121664
oversampling,var_threshold,robust_scaler,pca,nn,0.314501852643079,0.336502177068215,0.32513027040191
oversampling,var_threshold,robust_scaler,umap,nn,0.425005578742571,0.419242864054185,0.422104553680384
oversampling,var_threshold,standard_scaler,no_dim_reduction,nn,0.874837320201188,0.863449443638123,0.869106079750844
oversampling,var_threshold,standard_scaler,pca,nn,0.856773718709702,0.843638122883406,0.850155184888496
oversampling,var_threshold,standard_scaler,umap,nn,0.473570744603087,0.473258345428157,0.473414493478737
oversampling,var_threshold,log2_transform,no_dim_reduction,nn,0.732134259906581,0.652552007740687,0.690056213310384
oversampling,var_threshold,log2_transform,pca,nn,0.857314097770583,0.843698597000484,0.850451855769512
oversampling,var_threshold,log2_transform,umap,nn,0.459979995878882,0.440118529269473,0.449830132198527
oversampling,select_univariate,no_norm,no_dim_reduction,nn,0.44601279059685,0.417900338655056,0.431499163339053
oversampling,select_univariate,no_norm,pca,nn,0.397823881967709,0.383744557329463,0.390657405813545
oversampling,select_univariate,no_norm,umap,nn,0.407254264535769,0.383684083212385,0.395117974915777
oversampling,select_univariate,min_max_norm,no_dim_reduction,nn,0.425081304200055,0.414925012094823,0.419941759639282
oversampling,select_univariate,min_max_norm,pca,nn,0.407656724614966,0.386332849540397,0.396708443488926
oversampling,select_univariate,min_max_norm,umap,nn,0.415364760542305,0.394025157232704,0.40441364906426
oversampling,select_univariate,robust_scaler,no_dim_reduction,nn,0.487121177921154,0.484857281083696,0.485986593009382
oversampling,select_univariate,robust_scaler,pca,nn,0.233792923480164,0.340348330914369,0.277182768794335
oversampling,select_univariate,robust_scaler,umap,nn,0.405961866840191,0.406156265118529,0.406059042712616
oversampling,select_univariate,standard_scaler,no_dim_reduction,nn,0.467710228990179,0.45888969521045,0.463257979679354
oversampling,select_univariate,standard_scaler,pca,nn,0.431071532728465,0.418359941944848,0.424620623990219
