sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
undersampling,var_threshold,min_max_norm,no_dim_reduction,bayesian,0.3769714407502131,0.3742731795914713,0.36768606600190684,Pass
undersampling,var_threshold,min_max_norm,pca,bayesian,0.3877358362591273,0.39510059731655217,0.3829832718721608,Pass
undersampling,var_threshold,min_max_norm,umap,bayesian,0.24619565217391304,0.3339421613394216,0.23247805914248984,Pass
undersampling,var_threshold,robust_scaler,no_dim_reduction,bayesian,0.37734487734487737,0.3750489236790607,0.36857993197278915,Pass
undersampling,var_threshold,robust_scaler,pca,bayesian,0.32438271604938274,0.3283111418083215,0.20526070479099498,Pass
undersampling,var_threshold,robust_scaler,umap,bayesian,0.2440677966101695,0.3375081539465101,0.22350987527823907,Pass
undersampling,var_threshold,standard_scaler,no_dim_reduction,bayesian,0.3918249121632926,0.38201399281173654,0.3763068788506889,Pass
undersampling,var_threshold,standard_scaler,pca,bayesian,0.42353368176538914,0.431692951153064,0.42291179124795425,Pass
undersampling,var_threshold,standard_scaler,umap,bayesian,0.25735294117647056,0.312055689855851,0.22449562898384343,Pass
undersampling,var_threshold,log2_transform,no_dim_reduction,bayesian,0.36750114169469006,0.3573999462798818,0.348018648018648,Pass
undersampling,var_threshold,log2_transform,pca,bayesian,0.37627470360982246,0.3747796835629229,0.3669236479441498,Pass
undersampling,var_threshold,log2_transform,umap,bayesian,0.37512757512757516,0.3606768734891217,0.32379127896369275,Pass
undersampling,select_univariate,no_norm,no_dim_reduction,bayesian,0.3945113528446862,0.347761022217106,0.28751618129455697,Pass
undersampling,select_univariate,no_norm,pca,bayesian,0.6233254531126872,0.34620058068889653,0.24848824378236145,Pass
undersampling,select_univariate,no_norm,umap,bayesian,0.28863772583269115,0.36212220047836485,0.2594366821911732,Pass
undersampling,select_univariate,min_max_norm,no_dim_reduction,bayesian,0.3945113528446862,0.347761022217106,0.28751618129455697,Pass
undersampling,select_univariate,min_max_norm,pca,bayesian,0.28667594112996414,0.2982278756251359,0.2033184785371858,Pass
undersampling,select_univariate,min_max_norm,umap,bayesian,0.14227642276422764,0.3333333333333333,0.19943019943019943,Pass
undersampling,select_univariate,robust_scaler,no_dim_reduction,bayesian,0.3945113528446862,0.347761022217106,0.28751618129455697,Pass
undersampling,select_univariate,robust_scaler,pca,bayesian,0.3713947990543735,0.3407940345087807,0.17758527133570365,Pass
undersampling,select_univariate,robust_scaler,umap,bayesian,0.3391575143821613,0.32281314352224905,0.2954534892376735,Pass
undersampling,select_univariate,standard_scaler,no_dim_reduction,bayesian,0.3945113528446862,0.347761022217106,0.28751618129455697,Pass
undersampling,select_univariate,standard_scaler,pca,bayesian,0.36448778138918986,0.3397400969520228,0.27092866857525005,Pass
undersampling,select_univariate,standard_scaler,umap,bayesian,0.33474303474303474,0.33857296343194815,0.28067932103664195,Pass
undersampling,select_univariate,log2_transform,no_dim_reduction,bayesian,0.3630778665989933,0.35001279050432954,0.315331088664422,Pass
undersampling,select_univariate,log2_transform,pca,bayesian,0.3284013605442177,0.309956768095366,0.29636572817747137,Pass
undersampling,select_univariate,log2_transform,umap,bayesian,0.3853174603174603,0.36642620518527047,0.3299757918078528,Pass
undersampling,select_l1,no_norm,no_dim_reduction,bayesian,0.35490819621114866,0.35359732934269594,0.35073515572236796,Pass
undersampling,select_l1,no_norm,pca,bayesian,0.3161162314388121,0.34854380108207667,0.2669133102830112,Pass
undersampling,select_l1,no_norm,umap,bayesian,0.20774550484094054,0.32871148459383753,0.20566421199883866,Pass
undersampling,select_l1,min_max_norm,no_dim_reduction,bayesian,0.34103476310111064,0.3423461622091759,0.3383732904030515,Pass
undersampling,select_l1,min_max_norm,pca,bayesian,0.4677434724604536,0.4500204648069273,0.4472085585326473,Pass
undersampling,select_l1,min_max_norm,umap,bayesian,0.23879587349906983,0.33127917833800186,0.2454407623998267,Pass
undersampling,select_l1,robust_scaler,no_dim_reduction,bayesian,0.3494774169466219,0.351758694345318,0.3449296924873397,Pass
undersampling,select_l1,robust_scaler,pca,bayesian,0.35259259259259257,0.33878656485425224,0.1954770733265084,Pass
undersampling,select_l1,robust_scaler,umap,bayesian,0.24419500385165618,0.3325505544683627,0.22627402412733358,Pass
undersampling,select_l1,standard_scaler,no_dim_reduction,bayesian,0.34103476310111064,0.3423461622091759,0.3383732904030515,Pass
undersampling,select_l1,standard_scaler,pca,bayesian,0.3993486590038314,0.3978473581213307,0.37806374728133724,Pass
undersampling,select_l1,standard_scaler,umap,bayesian,0.25870646766169153,0.35606909430438843,0.28239535735631516,Pass
undersampling,select_l1,log2_transform,no_dim_reduction,bayesian,0.41504346445925816,0.4146508831843239,0.4119982043810813,Pass
undersampling,select_l1,log2_transform,pca,bayesian,0.35649840989646814,0.35127009707992785,0.3460463555124669,Pass
undersampling,select_l1,log2_transform,umap,bayesian,0.3592171717171717,0.3693206963150557,0.33097506313335184,Pass
